title,ISBN,author,description,link
Заживо в темноте,978-5-04-118220-5,Омер Майк,"Продолжение триллера «ВНУТРИ УБИЙЦЫ», бестселлера New York Times, Washington Post и Amazon Charts.     Все серийные убийцы вырастают из маленьких ангелочков…     Он — убийца-экспериментатор.  Она — следователь-профайлер.  Они обязательно встретятся…     Профайлер… Криминальный психолог, буквально по паре незначительных деталей способный воссоздать облик и образ действий самого хитроумного преступника. Эти люди выглядят со стороны как волшебники, как супергерои. Тем более если профайлер — женщина…     Николь приходит в себя — и понимает, что находится в полной темноте, в небольшом замкнутом пространстве. Ее локти и колени упираются в шершавые доски. Почти нечем дышать. Все звуки раздаются глухо, словно под землей… Под землей?!  ОНА ПОХОРОНЕНА ЗАЖИВО.  Николь начинает кричать и биться в своем гробу. От ужаса перехватывает горло, она ничего не соображает, кроме одного — что выхода отсюда у нее нет. И не замечает, что к доскам над ней прикреплена маленькая инфракрасная видеокамера…  ИДЕТ ПРЯМАЯ ИНТЕРНЕТ-ТРАНСЛЯЦИЯ.  В это же время «гробовое» видео смотрят профайлер ФБР Зои Бентли и специальный агент Тейтум Грей. Рядом с изображением подпись — «Эксперимент № 1». Они понимают: объявился новый серийный маньяк-убийца — И ОБЯЗАТЕЛЬНО БУДЕТ ЭКСПЕРИМЕНТ № 2…",https://book24.ru/product/zazhivo-v-temnote-5923415/
Сотканная из тумана,978-5-04-103434-4,"Наталья Тимошенко, Обухова Елена Александровна","У цикла «Секретное досье» уже есть целая армия фанатов. Суммарный тираж серии составляет более 100 000 книг!   Новый мистический детектив, который точно заставит обострить все чувства, прислушаться к шороху за дверью и надеяться, что команда ИИН придет и к тебе на помощь. ﻿Войтех Дворжак и его команда основали Институт исследования необъяснимого. Теперь они рассматривают заявки всех, кто столкнулся с явлениями, несомненно имеющими мистическую природу. На этот раз друзьям предстоит выяснить, что за сущность поселилась в далекой глухой деревне. Но как обнаружить то, что появляется ночами под покровом тумана и убивает, практически не оставляя следов?",https://book24.ru/product/sotkannaya-iz-tumana-5352631/
Доктор Сон,978-5-17-134702-4,Кинг Стивен,"Дэнни Торранс, сын писателя, уничтоженного темными силами отеля ""Оверлук"", до сих пор тяготится своим необычайным даром. Ведь способность ""сиять"" вновь и вновь напоминает ему о трагических событиях, пережитых в детстве и едва не сломавших ему жизнь. На плаву Дэнни поддерживает лишь работа в хосписе, где его способности помогают облегчить пациентам мучительную боль. Но однажды к Дэну приходит двенадцатилетняя девочка Абра, которая излучает ""сияние"" невероятной, немыслимой силы. И девочке этой угрожает смертельная опасность — на нее объявлена настоящая охота. Дэн Торранс — единственный, кто может ее спасти...",https://book24.ru/product/doktor-son-5912898/
Инициация,978-5-17-115213-0,Баррон Лэрд,"Геолог Дональд Мельник прожил замечательную жизнь. Он уважаем в научном сообществе, его жена — блестящий антрополог, а у детей прекрасное будущее. Но воспоминания о полузабытом инциденте в Мексике всё больше тревожат Дональда, ведь ему кажется, что тогда с ним случилось нечто ужасное, связанное с легендарным племенем, поиски которого чуть не стоили его жене карь еры. С тех самых пор Дональд смертельно боится темноты. Пытаясь выяснить правду, он постепенно понимает, что и супруга, и дети скрывают какую-то тайну, а столь тщательно выстроенная им жизнь разрушается прямо на глазах. Дональд еще не знает, что в своих поисках столкнется с подлинным ужасом воистину космических масштабов, а тот давний случай в Мексике — лишь первый из целой череды событий, ставящих под сомнение незыблемость самой реальности вокруг.",https://book24.ru/product/initsiatsiya-5344284/
Постучи в мою дверь. Шепот демона,978-5-17-147995-4,Моран Маша,"Иногда желания имеют силу. Но мечтать нужно осторожно — кто знает, как повернется жизнь. Олеся пожелала, чтобы любовь постучала в дверь. Мир услышал ее просьбу, и… она умерла. Крампус уже близко. Его шепот пробирается в кровь, затрагивая душу, вонзаясь в кости, выворачивая наизнанку. Он идет за Олесей, ведь та предначертана ему и обязана последовать за ним в преисподнюю, испив демоническую кровь. Ее крики, боль и ужас лишь веселят его, всемогущего и бессмертного. И лишь один мужчина может рискнуть вырвать Олесю из его окровавленных лап.",https://book24.ru/product/postuchi-v-moyu-dver-shepot-demona-6162572/
Самая страшная книга. Скелеты,978-5-17-115876-7,Кабир Максим Ахмадович,"Тихий шахтерский городок где-то в российской глубинке. Канун Нового года. Размеренная жизнь захолустья, где все идет своим чередом по заведенному порядку. Периодически здесь пропадают люди, а из дверного глазка пустой квартиры на вас смотрит то, что не должно существовать. Со зловещим скрипом открываются двери здешних шкафов, выпуская на свободу орды припрятанных там скелетов.  И вместе с памятью о неимоверной боли — в мир приходит невыразимое Зло.",https://book24.ru/product/samaya-strashnaya-kniga-skelety-5348419/
Женщина в черном,978-5-389-20192-7,Хилл С.,"Гордо и одиноко возвышается над просторами соляных болот особняк Ил Марш. Артур Киппс, молодой лондонский адвокат, по поручению своей конторы выезжает на похороны последней хозяйки особняка и даже не подозревает, какие жуткие тайны могут скрываться за его темными окнами. Но когда на похоронах хозяйки он встречает странную молодую женщину, одетую во все черное, в его сердце закрадывается тревога. На вопросы Артура, кто эта таинственная особа, люди отвечают молчанием. Никто не хочет говорить о женщине в черном — или это страх вынуждает их запереть рты на замок?  В 2012 году британский режиссер Джеймс Уоткинс поставил по роману одноименный фильм, имевший большой успех. Главную роль в кинокартине сыграл Дэниел Рэдклифф, прославившийся исполнением роли Гарри Поттера в знаменитом киносериале по романам Джоан Роулинг.",https://book24.ru/product/zhenshchina-v-chernom-6050878/
Бестиарий с иллюстрациями Энрике Алкатены,978-5-17-119843-5,Лавкрафт Говард Филлипс,"Мир Г.Ф. Лавкрафта наполнен мифическими существами из других эпох и с далеких планет. Хоть чудовища эти не слишком дружелюбны и представляют угрозу для человека, не восхищаться ими невозможно. Собранные в этой книге создания света, мрака, полумрака и тьмы от одного из мастеров ужаса заиграют для читателя новыми красками благодаря великолепным цветным иллюстрациям аргентинского художника Энрике Алькатены.",https://book24.ru/product/bestiariy-s-illyustratsiyami-enrike-alkateny-5914434/
Слышащий,978-5-389-16149-8,Маккаммон Роберт Р.,"Кертис Мэйхью, паренек, живущий в гетто Нового Орлеана и работающий носильщиком на железнодорожной станции, среди своих прославился как человек, способный уладить любую ссору. Но никто не догадывается о его истинном таланте. Кертис может слушать… чужие мысли.  В отчаянные времена всегда хватало негодяев, готовых добыть денег любым способом. Мужчина с ангельским лицом и заезжая торгашка, оставив свои мелкие аферы, решают пойти ва-банк и похитить детей известного дельца. Вскоре Кертис услышит детский крик о помощи — и в этот миг самым роковым образом изменится его судьба.  Роман, который вполне можно сравнить со знаменитым «Сиянием» Стивена Кинга, был награжден престижными премиями «Локус» и «Это — хоррор».",https://book24.ru/product/slyshashchiy-5960233/
Черный гондольер,978-5-389-18580-7,Лейбер Фриц,"Фриц Ройтер Лейбер-младший, родившийся в семье актеров — эмигрантов из Германии,  стал одной из самых ярких звезд «Золотого века» фантастики. Литературное наследие Лейбера удостоено шести премий «Небьюла», четырех «Хьюго», трех «Всемирных премий фэнтези» и многих других почетных наград. По итогам своего творчества он получил звание «Грандмастер фантастики».  Но велик и вклад Лейбера в мистическую литературу, недаром он считается одним из создателей  современной формы этого жанра. Огромное влияние на него оказали произведения Говарда Лавкрафта, у которого он увлеченно учился и чье творчество самым деятельным образом популяризовал.  В этой книге собраны его лучшие сверхъестественные истории, в том числе и написанные в стиле Лавкрафта. Роман «Ведьма», удостоенный премии «Хьюго» и считающийся классикой мистики, был экранизирован несколько раз.  Большинство произведений, вошедших в сборник, публикуется на русском впервые.",https://book24.ru/product/chernyy-gondoler-6501486/
"Сверхъестественное. Книга монстров, призраков, демонов и оживших мертвецов",978-5-17-119822-0,Ирвин Алекс,"Телесериал «Сверхъестественное» – настоящее счастье для поклонников историй о потустороннем: это бесконечное путешествие по дорогам Америки и по миру демонов, призраков и прочих порождений зла. Романтика опасных путешествий, вкупе с не менее романтичной парочкой охотников за нечистью – братьями Сэмом и Дином, – а также динамичные сюжеты-расследования делают этот сериал невероятно увлекательным. Городские легенды, европейский и североамериканский фольклор, на котором основаны сюжеты, дают такой богатый материал, что в какой-то момент сериал превратился и в книжную серию, рассказывающую новые истории о приключениях братьев и существенно расширяющую мир «Сверхъестественного». А для того, чтобы ориентироваться по этому миру было проще, Алекс Ирвин, автор множество романов и рассказов в жанре фэнтези, составил «Книгу монстров, призраков, демонов и оживших мертвецов». Уникальное издание с картинками, текстами-описаниями, выдержками из дневника Джона Винчестера, отца Сэма и Дина, поделившегося своими наблюдениями за чудовищами, понравится всем, кто хочет разобраться в мифологии потустороннего, ознакомиться с основным сводом городских легенд о разнообразных монстрах и немножко почувствовать себя учеником Хогвартса, штудирующим учебник по защите от темных сил. В конце концов, приятно похвастаться знаниями о том, чем гули отличаются от демонов, можно ли уничтожить ликантропа и для чего нужна эссенция гальбанума. И заодно пощекотать себе нервы короткими и содержательными рассказами о жутких тварях. А поклонники тв-версии «Сверхъестественного» найдут в книге еще и маленький бонус в виде цветной вкладки с кадрами из сериала.                 ﻿Двадцать два года назад Сэм и Дин Винчестеры потеряли мать, которую погубила таинственная злая сила. Когда они выросли, отец рассказал им о демонах, которые таятся во тьме и бродят по проселочным дорогам Америки. А еще он рассказал им о том, как с ними бороться… Фанаты уникального сериала, танцуйте! Перед вами ""Книга монстров, призраков, демонов и оживших мертвецов"", полная коллекция сведений о нечистой силе, с которой Дин и Сэм ведут войну. Гид содержит иллюстрации и подробные описания более чем двух десятков злобных существ из потустороннего мира, существующих только, по мнению некоторых, в фольклоре, суеверных преданиях и ночных кошмарах. Вампиры, привидения, неупокоенные души, жнецы и даже страшные клоуны населяют страницы этой книги. Здесь же вы познакомитесь с заметками, наблюдениями и воспоминаниями Сэма и Дина, вместе с отрывками из бесценного дневника их отца, Джона Винчестера. ""Книга монстров"" – великолепное дополнение к каждому захватывающему эпизоду – и весомое оружие в секретной войне с тварями, скрывающимися во тьме.",https://book24.ru/product/sverkhestestvennoe-kniga-monstrov-prizrakov-demonov-i-ozhivshikh-mertvetsov-5812243/
Доктор Сон,978-5-17-099557-8,Кинг Стивен,"Дэнни Торранс, сын писателя, уничтоженного темными силами отеля ""Оверлук"", до сих пор тяготится своим необычайным даром. Ведь способность ""сиять"" вновь и вновь напоминает ему о трагических событиях, пережитых в детстве и едва не сломавших ему жизнь. На плаву Дэнни поддерживает лишь работа в хосписе, где его способности помогают облегчить пациентам мучительную боль. Но однажды к Дэну приходит двенадцатилетняя девочка Абра, которая излучает ""сияние"" невероятной, немыслимой силы. И девочке этой угрожает смертельная опасность — на нее объявлена настоящая охота. Дэн Торранс — единственный, кто может ее спасти...",https://book24.ru/product/doktor-son-206445/
Мизери,978-5-17-082042-9,Кинг Стивен,"Писатель Пол Шелдон, прославившийся серией любовно-приключенческих романов, чудом выживает в автокатастрофе. Вот только приходит он в сознание не в больнице, а в чужом доме, хозяйка которого немолодая одинокая медсестра Энни Уилкс. Именно она спасла его, вытащив из-под обломков и оказав первую помощь. Однако очень скоро он понимает, что Энни далеко не та, кем кажется. Она — давняя поклонница книг Пола и вырвала его из лап смерти с целями, бесконечно далекими от гуманности и милосердия...",https://book24.ru/product/mizeri-188347/
Паразиты сознания. Философский камень. Возвращение ллойгор,978-5-17-133162-7,Уилсон Колин,"Доктор психологии  Вайсман погибает в результате трагического несчастного случая. Его давний знакомый археолог Остин неожиданно для себя получает в наследство результаты научных работ Вайсмана. Остин в недоумении, однако позже выясняется, что раскопки цивилизации хеттов, которыми занимается Остин в Турции, каким-то образом связаны с работами Вайсмана. Вскоре он начинает подозревать, что смерть Вайсмана не была такой уж случайной. Однако чем и кому могли помешать исследования безобидного психолога?",https://book24.ru/product/parazity-soznaniya-filosofskiy-kamen-vozvrashchenie-lloygor-6652170/
Буря столетия,978-5-17-118917-4,Кинг Стивен,"На маленький дальний остров идет буря. Страшная буря, сметающая все на своем пути. И вместе с бурей приходит Зло — странный человек, который убивает по какому-то лишь ему известному плану. Человек, который обладает чудовищной властью. Человек, который не уйдет, пока не получит то, за чем явился...",https://book24.ru/product/burya-stoletiya-5425479/
Хор больных детей. Скорбь ноября,978-5-17-138334-3,Пиккирилли Том,"Сразу два культовых романа в одном томе от четырехкратного лауреата премии Брэма Стокера и двукратного лауреата Международной премии триллера — Тома Пиккирилли.  Впервые на русском языке! Для всех поклонников Стивена Кинга, Клайва Баркера и Адама Нэвилла. ""Хор больных детей"". Это история городка Кингдом Кам, затерянного в болотах на Юге Америки. После исчезновения матери и самоубийства отца Томасу, наследнику единственной фабрики в городе, приходится самому заботиться о своих братьях, сросшихся тройняшках с отдельными телами, но общим мозгом. Вот только город, где живет Томас, преследуют несчастья, в болотах вокруг творится что-то странное, а на улицах появился убийца. Старая ведьма заявляет, что весь род Томаса проклят, а местный священник, страдающий от эпилептических припадков, начинает говорить о том, что грядет карнавал и все в опасности. И теперь Томасу придется столкнуться не только с таинственными силами, грозящими захлестнуть все вокруг, но и с жутким прошлым собственной семьи. ""Скорбь ноября"". Отсидев два года в тюрьме, Шэд Джен кинс возвращается домой, в южный горный городок Лунная Лощина, и выясняет, что его сестра погибла. Никто не знает, что с ней случилось и почему ее тело нашли на грунтовой дороге, ведущей к ущелью, где когда-то оставляли умирать больных желтой лихорадкой. Пытаясь проникнуть сквозь плотную завесу тайн и суеверий, Шэд хочет разгадать тайну смерти своей сестры, но это непросто в городе, полном фанатиков и воров, алкоголиков и проповедников со змеями. К тому же Шэда все сильнее мучают Кровавые сны, преследовавшие его с самого детства. Постепенно они открывают ему истинное лицо противника, и Шэд, опасаясь за свой разум, видя призраков наяву, понимает, с кем — или с чем — ему придется сразиться.",https://book24.ru/product/khor-bolnykh-detey-skorb-noyabrya-6600598/
Сигнал,978-5-17-114357-2,Шаттам Максим,"— Максим Шаттам — король французского триллера, мастер саспенса и тёмных историй, пропитанных мистикой, а также близкий друг Бернара Вербера. — Понравится всем любителям мрачных триллеров в стиле Ю Несбё, Жан Кристоф-Гранже, Питера Страуба и Томаса Харриса. — Книги Максима Шаттама переведены на 20 языков, а их тираж превышает 7 000 000 экземпляров. — «Сигнал» — атмосферная история о маленьком городке в духе Стивена Кинга. В живописном уголке появляются жестокие существа из потустороннего мира. — Автор размышляет о природе насилия, пустившего прочные корни в нашей повседневной реальности. Семья Спенсеров только что переехала в Мэхинган Фолз – маленький городок, где жизнь течет медленно и размеренно. Настоящий рай, если бы не старые слухи о колдовстве, не телефонные звонки с пронзительными нечеловеческими криками, не жуткое существо, преследующее подростков, и не ужасные убийства, которые приходится расследовать шерифу. Вам когда-нибудь было по-настоящему страшно во время чтения книги?",https://book24.ru/product/signal-6623941/
Дочки-матери,978-5-04-168156-2,Наталья Тимошенко,"Прошлое раскрывает тайны.  Когда в одной семье в течение года умирают несколько человек, волей-неволей задумаешься: а не проклял ли кто? А если еще и причина смерти у всех одна, сомнений не остается.  К Лере Горяевой обратилась за помощью ее троюродная сестра, ведь у Леры есть хорошо знакомый экстрасенс, способный разобраться в происходящем и остановить череду трагических смертей. Только вот Никита сильно сомневается, что дело в проклятии. Возможно, чтобы помочь несчастной женщине, ему придется покопаться в семейных тайнах и вытащить на свет нечто гораздо более страшное, чем рядовое проклятие.  Захватывающее детективное фэнтези, увлекающее с первой страницы.   Романы Натальи Тимошенко пропитаны мистикой и тайной. В них оживают лесные чудовища, посланники из мира мертвых и старые добрые домовые.",https://book24.ru/product/dochki-materi-6586681/
Надвигается беда,978-5-04-173107-6,Брэдбери Рэй,"Завертелась жуткая карусель, в зловещий Зеркальный лабиринт вошли первые посетители — это приехал разъездной карнавал. Маленький городок оказался во власти злых и жестоких сил, и только чистые душой способны спасти жителей городка от превращения в ужасных зомби.  Серьезное и тяжелое произведение  Рэя Брэдбери, наполненное метафорами, различными символами и мистикой. Брэдбери раскрывает противостояния светлого и темного начал в человеке, выводя на свет самые затаенные желания, страхи и искушения под масками жителей Гринтауна, сталкивающихся с мрачными Людьми Осени. Завертелась жуткая карусель, в зловещий Зеркальный лабиринт вошли первые посетители - это приехал разъездной карнавал. Маленький городок оказался во власти злых и жестоких сил, и только чистые душой способны спасти жителей городка от превращения в ужасных зомби. ""Надвигается беда"" - культовая книга, ее будут читать и перечитывать дети и взрослые, чтобы насладиться  переливами красок карнавала, чтобы вспомнить знакомые эпизоды и образы Человека в картинках, Скелета и Ведьму, чтобы вернуться в детство,  чтобы получить  бесценный  совет  по отношению к жизни от Великого Мастера - Рэя Брэдбери.",https://book24.ru/product/nadvigaetsya-beda-6617036/
Ты умеешь хранить тайны?,978-5-17-147450-8,Стайн Роберт Лоуренс,"Впервые на русском! Четвертая книга новой серии «Улица страха». Роберта Стайна называют «Стивеном Кингом» в детской литературе. Стайн написал около 500 книг, которые разошлись по миру общим тиражом свыше 400 000 000 экземпляров.  Издание USA Today три года подряд называла Стайна самым продаваемым писателем в Америке. В городке Шейдисайд опять неспокойно — ночью по улицам рыщет дикий зверь, нападающий на людей и животных, а юную Эмми в это же время преследуют кошмарные сны, в которых она превращается в волчицу. Но и наяву девушке нет покоя — ведь ее парень Эдди неожиданно нашел в лесу портфель, набитый деньгами. Эмми, Эдди и их друзья решили оставить деньги себе, закопав их в могиле на кладбище домашних животных, но выдержит ли их дружба испытание неожиданно свалившимся богатством, и какую цену придется за него заплатить? И какую роль во всем этом сыграет тайна из прошлого Эмми — тайна, которую она отчаянно старается сохранить?",https://book24.ru/product/ty-umeesh-khranit-tayny-6652960/
Дом на краю темноты,978-5-17-149829-0,Сейгер Райли,"– Мгновенный бестселлер по версии New York Times. – Одна из лучших книг 2020 года по версии USA Today. – Психологический триллер, в котором за образом «дома с привидениями» скрывается продуманный сюжет и правдоподобные персонажи. – Книги Райли Сейгера не раз рекомендовал сам Стивен Кинг. Мэгги Холт ненавидит вопросы о своем детстве и книгу, написанную ее отцом. Книга не дает ей покоя уже 25 лет – с тех пор как семья Мэгги переехала в викторианский особняк Бейнберри Холл, а затем в спешке покинула его посреди ночи. В своем романе отец Мэгги описал все мрачные и мистические события, произошедшие в особняке, и книга сделала семью Холт известной. Но Мэгги не помнит ничего из своего детства и не верит ни единому слову в романе. После смерти отца Мэгги наследует тот самый особняк и хочет подготовить его к продаже. Теперь призраки прошлого готовы выйти из тени и рассказать ей тайну особняка. Но готова ли она встретиться с секретами, что поджидают ее в стенах старого дома? И что, если человеческие поступки окажутся страшнее любых привидений?",https://book24.ru/product/dom-na-krayu-temnoty-6258632/
Клатбище домашних жывотных,978-5-17-089240-2,Кинг Стивен,"Роман, который сам Кинг, считая ""слишком страшным"", долго не хотел отдавать в печать, но только за первый год было продано 657 000 экземпляров! Также роман лег в основу одноименного фильма Мэри Ламберт (где Кинг, кстати, сыграл небольшую роль). Казалось бы, семейство Крид — это настоящее воплощение ""американской мечты"": отец — преуспевающий врач, красавица мать, прелестные дети. Для полной идиллии им не хватает лишь большого старинного дома, куда они вскоре и переезжают.  Но идиллия вдруг стала превращаться в кошмар. Потому что в окружающих их новое жилище вековых лесах скрывается НЕЧТО, более ужасное, чем сама смерть и… более могущественное. Читайте легендарный роман Стивена Кинга ""КлаТбище домашних жЫвотных"" — в новом переводе и впервые без сокращений!",https://book24.ru/product/klatbishche-domashnikh-zhyvotnykh-novyy-perevod-190416/
Оно,978-5-17-145607-8,Кинг Стивен,"От автора культовых романов «Кладбище домашних животных», «Кэрри» и «Противостояние» Одна из самых известных книг Стивена Кинга — теперь и в одной из самых популярных серий на российском книжном рынке. «Оно» — один из самых популярных романов автора. Только в одной России за последние 6 лет было продано свыше 400 000 экземпляров книги. В маленьком провинциальном городке Дерри много лет назад семерым подросткам пришлось столкнуться с кромешным ужасом - живым воплощением ада. Прошли годы... Подростки повзрослели, и ничто, казалось, не предвещало новой беды. Но кошмар прошлого вернулся, неведомая сила повлекла семерых друзей назад, в новую битву со Злом. Ибо в Дерри опять льется кровь и бесследно исчезают люди. Ибо вернулось порождение ночного кошмара, настолько невероятное, что даже не имеет имени...",https://book24.ru/product/ono-6258579/
Хозяин Чёрного Замка,978-5-389-19362-8,Дойл А.К.,"Крупнейший английский писатель сэр Артур Конан Дойл, создатель несравненного Шерлока Холмса, известен всему миру как мастер детективного и приключенческого жанров. Настоящий сборник остросюжетных рассказов представляет Дойла с несколько иной стороны — как автора удивительных и порой леденящих кровь историй. Читатель найдет здесь рассказы о безумных изобретениях, о таинственных поместьях с замурованными воротами, о чудовищах, обитающих в верхних слоях стратосферы и о многом другом, не менее загадочном и странном. Каждый из этих рассказов — небольшой шедевр, не уступающий самым знаменитым произведениям Конан Дойла.",https://book24.ru/product/khozyain-chyernogo-zamka-5965073/
Жизнь мальчишки,978-5-389-20305-1,Маккаммон Роберт Р.,"Двенадцатилетний Кори Маккенсон — большой фантазер. Он наделен удивительным даром воображения, видит то, чего не замечают другие, и все ему кажется необыкновенным. Хотя что необыкновенного в захолустном городке американского Юга 1960-х? Жизнь Кори проста и незатейлива: встать пораньше, помочь отцу-молочнику, потом пойти в школу, вечером погулять с друзьями… Но однажды Кори и его отец становятся свидетелями автомобильной аварии, и выясняется, что падение машины с моста в озеро было подстроено, чтобы скрыть преступление. Пытаясь разгадать, кто же этот таинственный убийца, Кори проходит нелегкий путь. Его поиски истины — это путешествие в мир, где сталкиваются невинность и зло, страх и благоговение, магия и безумие, фантазия и реальность. Роман Роберта Маккаммона, увидевший свет в 1991 году, был заслуженно удостоен сразу двух наград — премии Брэма Стокера и Всемирной премии фэнтези в номинации «Лучший роман». Уже тридцать лет эта книга, написанная в лучших традициях романа «Оно» Стивена Кинга и рассказов Рэя Брэдбери, продолжает оставаться бестселлером во многих странах мира!",https://book24.ru/product/zhizn-malchishki-6122758/
11/22/63,978-5-17-134703-1,Кинг Стивен,"...Убийство президента Кеннеди стало самым трагическим событием американской истории ХХ века. Тайна его до сих пор не раскрыта. Но что, если случится чудо? Если появится возможность отправиться в прошлое и предотвратить катастрофу?  Это предстоит выяснить обычному учителю из маленького городка Джейку Эппингу, получившему доступ к временному порталу.  Его цель — спасти Кеннеди. Но какова будет цена спасения?",https://book24.ru/product/11-22-63-5913190/
Постучи в мою дверь. Отмеченная демоном,978-5-17-146476-9,Моран Маша,"Иногда желания имеют силу. Но мечтать нужно осторожно — кто знает, как повернется жизнь. Олеся пожелала, чтобы любовь постучала в дверь. Мир услышал ее просьбу, и… она умерла. Кажется, это сон. Жуткий, страшный кошмар, из которого не вырваться. Говорят, она отмечена демоном, который похищает женщин и детей, насилует их и пожирает. Говорят, она принесет много бед этим землям и их властителю, поклявшемуся защищать мир от зла. Сможет ли Олеся найти защиту в этом мрачном, темном мире? Ведь демоны уже идут за ней…",https://book24.ru/product/postuchi-v-moyu-dver-otmechennaya-demonom-6064431/
