title,ISBN,author,description,link
Зеро Варош: Точка Невозврата,978-5-0051-9834-1,Вайс Д.,"Черно-белый город как точка отсчета… Есть ли в нем время? Подчиняется ли он привычным законам логики? Жуткий ли это кошмар или ловко продуманная ловушка? И можно ли выйти из него, однажды ступив на его улицы?",https://book24.ru/product/zero-varosh-tochka-nevozvrata-6464899/
Жар-цвет,978-5-93835-023-6,Амфитеатров А.,"В романе ""Жар-цвети"" Александра Амфитеатрова (1862-1938), писателя-беллетриста, исследователя оккультной традиции, масона, чудным образом переплетаются различные миры: вымышленный и реальный, мистический и обыденный, буржуазно-мещанский и народный, западный и восточный. Основные события разворачиваются вокруг странной любви мертвой женщины к живым мужчинам, передающейся по наследству; любовь московского банкира к проклятой балканской княжне, обрученной с таинственным демоном; любовь польского графа к прекрасному призраку, воплощенному в обломках статуи. Главные герои последовательно сходят с ума, а может быть - переживают настоящую встречу со сверхъестественным. Психическое заражение, или откровение иного мира, дурман-трава, или волшебный цветок? На этот вопрос и предстоит ответить читателю, погрузившись в мир восточноевропейских легенд, алхимических манускриптов, масонских рукописей и таинственных экзотических ритуалов.",https://book24.ru/product/zhar-tsvet-6577477/
Испорченная реальность,978-1-913138-77-6,Урбанчик Д.,"Кевина Николса можно назвать счастливым человеком. У него любимая жена и очаровательный маленький сын, стабильная работа с дружелюбными коллегами и немало хороших воспоминаний и надежд на будущее. О таких, как он, люди часто говорят: «Жизнь удалась!» Однажды Кевин окажется в совершенно другом мире. Мире, в котором его вдруг просто… не стало.",https://book24.ru/product/isporchennaya-realnost-6577478/
Происшествие на складе школьных учебников: Зона 51. Книга первая,978-5-0055-6277-7,"Гусев А., Кузин Д.","Спустя четверть века после убийства Джона Ф. Кеннеди в Чикаго начинают происходить странные события, указывающие на незримое присутствие в городе убийцы 35-го Президента США. Агенты ФБР Стивене и Дадли спустя четверть века вновь приступают к расследованию далласских выстрелов и выясняют, что убийца в тот день исчез не где-нибудь, а в районе знаменитой и секретной «Зоны-51» — места контактов американских ВВС с глубоким космосом. Достать его оттуда теперь становится их задачей...",https://book24.ru/product/proisshestvie-na-sklade-shkolnykh-uchebnikov-zona-51-kniga-pervaya-6578352/
До и После. Часть 2. Миражи,978-5-517-05749-5,Кросс Т.,"Привычный мир изменился в одно мгновение. Многие живые мертвы, а мертвые – все еще живы. Грань сверхъестественного сместилась, кошмары стали реальностью, а некоторые голоса звучат слишком громко…  Продолжение мистической истории о выживании людей в постапокалиптическом мире ""До и после"".",https://book24.ru/product/do-i-posle-chast-2-mirazhi-6575823/
Простой карандаш,978-5-4474-7319-8,Соколов С.А.,"Рассказы и повести в представленной книге объединяет мысль о порой существенном влиянии ещё непознанных законов природы на жизнь обыкновенных людей — с их заботами, чаяниями, надеждами, — на отношение к своей судьбе и к судьбе своих близких. Главное — нравственный выбор в предлагаемых, чуть фантастических, обстоятельствах.",https://book24.ru/product/prostoy-karandash-6578353/
Переливы дневного света,978-5-4493-5735-9,Марк К.,"Первая книга фантастического романа, посвященная мирозданию, о котором вы не могли слышать ранее. Излишнее его разнообразие порождает неопределенность всего, с чем бы ни столкнулась девушка, представшая перед миром под названием Корон. История для тех, кто готов к чему-то новому, для тех, кто готов принять мир, населенный существами, которые могут показаться вам знакомыми. Лишь проникнувшись историей жизни Анны Вичвилл, можно поверить, что, несмотря на неизвестность, нужно следовать своему пути.",https://book24.ru/product/perelivy-dnevnogo-sveta-6578340/
Монстры идут по пятам,978-5-517-03649-0,Головачева В.,"Похоже, что у Павлика и Вари нет выхода в самом прямом смысле слова. Ведь новый заманчивый аттракцион, на который им удалось попасть, оказался настоящим дьявольским лабиринтом, замкнутым кругом ловушек со злобными монстрами внутри, с бушующими водоворотами и взбесившимися компьютерами. «Неужели нам суждено на всю жизнь остаться в этом царстве кошмара?» — в ужасе думают ребята, бегая в поисках выхода и попадая из ловушки в ловушку. И в последней надежде на спасение они решаются шагнуть в зовущую и пугающую пустоту...",https://book24.ru/product/monstry-idut-po-pyatam-6575651/
Над бездною цветущий сад,978-5-4491-1250-7,Зурабян Г.,"Спокойствие небольшого, провинциального городка буквально взорвано серией чудовищных преступлений. В орбиту их расследования оказываются вовлечены молодой журналист Дмитрий Осенев и его жена Аглая – слепая от рождения, но наделенная уникальными экстрасенсорными способностями. Давая согласие на помощь в расследовании, супруги даже не могли и предположить, к каким ошеломляющим результатам оно приведет. Ибо история странных убийств-жертвоприношений, уходящая корнями в глубь веков, тесно переплелась с семейными тайнами и преданиями самих Осеневых.  ""… Кривцов внимательно всмотрелся в лицо сидящей напротив женщины и ему стало неуютно: незрячие глаза, застывшие черты лица, в которых ни покоя, ни покорности. Напротив, нечто страшное, неумолимое и где-то сардоническое. Кривцов почувствовал, как цепенеет при взгляде на Аглаю. В какой-то миг показалось, что в уютной до сих пор, такой домашней кухоньке, появилось и стало накапливаться , расти что-то потустороннее, угрожающее, от чего невозможно",https://book24.ru/product/nad-bezdnoyu-tsvetushchiy-sad-6576858/
Книга требует жертв,978-5-517-03646-9,Головачева В.,"Сколько всего можно успеть за одни только зимние каникулы: и с ледяной горки съехать, и на коньках покататься, и книжку интересную почитать. А книжка попалась Насте просто потрясающая: манящая красная обложка, а внутри удивительный рассказ о любви прекрасной девушки и вампира. Казалось бы, читай, да радуйся, но стоит Насте заглянуть под красный переплет, как ей снится один и тот же сон: словно идет она по темному тоннелю, слышит мольбы о помощи и с криком ужаса летит в пропасть. Что это: просто разыгравшееся воображение? Но почему тогда каждый раз наутро после кошмара у Насти на лице появляется кровь? И откуда она берется на руках у всех, кто прикасается к таинственной книге? ""Неужели мой сон - это явь?!"" - холодея от страха, думает Настя…",https://book24.ru/product/kniga-trebuet-zhertv-6575645/
Фантом является ночью,978-5-517-03653-7,Головачева В.,"Жизнь Родиона превращается в настоящий кошмар! Он должен встретить на вокзале родственницу из деревни Свинухи. Девчонке назначен курс лечения в больнице, но жить она будет в их квартире! Хуже этого быть ничего не может. Так думал Родион, выгружая из вагона девчонку, прикованную к инвалидной коляске. Но главный ужас начался позже — не успевал Родион подумать что-то плохое, как оно тут же совершалось... Свет стал немил несчастному мальчишке. Неужели все проблемы из-за нее, монстра Алисы, катающей свою проклятую коляску по квартире? Или из-за странного человека, который вдруг вызвался вместо Родиона ухаживать за больной?..",https://book24.ru/product/fantom-yavlyaetsya-nochyu-6575670/
Мутное стекло,978-5-517-03684-1,Головачева В.,"Никогда не покупайте в антикварном магазине старинные зеркала! Кто знает, что в них скрыто? Ведь зеркало может оказаться порталом в другое измерение, где твои двойники, злобные и бесчеловечные, только и ждут случая, чтобы поменяться с тобой местами, оставив тебя томиться в вечном заточении!",https://book24.ru/product/mutnoe-steklo-6575247/
Проклятое место,978-5-517-03681-0,Головачева В.,"Если ты поехал в деревню к бабушке, надо хорошенько отдохнуть? Как бы не так! Ведь на окраине есть зловещая шахта с призраками, а раньше в этой шахте добывали золото. Как тут усидеть дома? Так что ужасные приключения только начинаются! Тем более, призраки сами желают пообщаться, а значит, встречи не избежать!",https://book24.ru/product/proklyatoe-mesto-6575248/
Веселый праздник,978-5-517-03637-7,Головачева В.,"Что страшнее юным друзьям на Новый год? Забраться на заколоченный чердак? Обледенелую крышу дома, овеваемую всеми ветрами? А, может, оказаться в застрявшем лифте? Ведь родители сами ушли в гости, и точно не смогут помочь...",https://book24.ru/product/veselyy-prazdnik-6575624/
